,fecha,tweets
747,2020-04-23 04:00:30,"#Covid_19ec
Mientras tanto en #Tulcán extranjeros (Venezolanos) usan las calles como tinglado. 
@TulcanOnline… https://t.co/FAbGkl7pOP"
746,2020-04-23 04:04:21,Srs @ANT_ECUADOR @ATM_Transito @MinGobiernoEc no sirve la página para emitir salvoconducto. En todo el día no he po… https://t.co/1Pmk7KfRiG
745,2020-04-23 04:06:53,.@JorgeWated estimado: Quien pretendió ofenderlo con el término 'sepulturero' no lo logró y borró el tuit. Usted… https://t.co/sPQnknFdKH
744,2020-04-23 04:08:58,Hay otro virus más peligroso q el #Covid_19ec Se sabe poco como por ejemplo q destruye las neuronas. Los casos más… https://t.co/Axy4Xzt4Ob
743,2020-04-23 04:34:34,"&lt;Número de muertes y diagnóstico de congestión&gt;
&lt;Advertencia .. Peligro .. Quito ..&gt;
#Quito #QuedateEnTuCasa… https://t.co/DN7LFAxmr9"
742,2020-04-23 04:36:40,De a poco más despidos ahora es Sportplanet empleado con 6 años de servicio tan solo recibe $250… https://t.co/slhOeIsON5
741,2020-04-23 04:41:33,@milenkomar @CynthiaViteri6 debería ser internada para investigar si el #Covid_19ec le alteró el cerebro. Está más… https://t.co/lvCQiQbwSO
740,2020-04-23 05:17:00,A mi me deben 4 meses de atrasos Canal 1 sept. oct. nov. y dic. del 2019. Estuve bajo facturación y hasta la fecha… https://t.co/MGHO7WidVS
739,2020-04-23 07:30:42,"Por favor avise a cualquiera ...
Sobre la política de virus.

El español es dificil.
Limitaciones lingüísticas. Lim… https://t.co/DFv57SjD0W"
738,2020-04-23 07:36:24,@CondorECUADOR @CynthiaViteri6 Mañana ojalá no amanezca en Sarajevo o en Belgrado por favor @CynthiaViteri6 #Covid_19ec #fOtto
737,2020-04-23 10:30:56,"Tengo este problema
Asesorado continuamente desde marzo.
Pero nadie escuchó.
De políticos a periodistas.
Ahora escr… https://t.co/qcjWSVzPR5"
736,2020-04-23 10:46:37,"Solo la cruz y la espada .
Imperdible editorial sobre cómo en #catamarca se vive esta #pandemia del #Covid_19ec  … https://t.co/GENQvJEiLG"
735,2020-04-23 12:01:55,#23Abril #URGENTE @CORPOELECinfo  a esta hora 8:00 am vecinos de los sectores caballo mocho valle fresco monseñor… https://t.co/bcugEJ2rc5
734,2020-04-23 12:03:12,"DE SER VERDAD ESTO!
ES INAUDITO QUE UN HOMBRE TAN MAYOR COMO EL ING. DONALD CASTILLO SE HAYA ENVUELTO EN CASOS DE C… https://t.co/no8IFD1MxA"
733,2020-04-23 12:26:57,"Aquí voy otra vez 😬 ¿Se puede aplicar el caso fortuito para el #Covid_19ec y terminar la relación laboral? 
¡Echa u… https://t.co/Dqs6UK1E0y"
732,2020-04-23 13:01:04,#FOTTO no perdió tiempo en la campaña presidencial 2021 mientras el #Ecuador soporta la pandemia #COVID19Ecuador… https://t.co/NRR03KhTBC
731,2020-04-23 13:11:14,Un EMBAJADOR gana 15000 dólares y sueldo para la mujer!! @lenin de q AUSTERIDAD hablamos!?? Hay que tener sangre en… https://t.co/ssG3OSlksa
730,2020-04-23 13:25:30,Cuando un gobierno NO ROBA la ayuda si alcanza. Costa Rica dando el EJEMPLO. @NitoCortizo @gabycarrizoj… https://t.co/uL8cp44kK0
729,2020-04-23 13:30:16,@GuerreroViking2 @juanseroldan @EcuadorTV @Lenin @GRodriguezSIHE @MinGobiernoEc @mariapaularomo JAJAJA JAJAJA 🤣🤣 No… https://t.co/f7kPvDIlBS
728,2020-04-23 13:32:41,"Ya sabemos dónde estuvo éste tiempo. Viendo películas en lugar de trabajar. Por Espartaaaa! 🤔😂
#Covid_19ec #Ecuador… https://t.co/ca3DjKBqPm"
727,2020-04-23 13:45:34,Reportaje de @docubrent de la @nytimes sobre #Covid_19ec en #Guayaquil. Gracias por poner tus ojos en #Ecuador. https://t.co/sweQwnVsqY
