,fecha,tweets
35,2020-04-03 00:34:36,RT @bytati_: El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE. Aclara que ahora recogen 150 cadáveres diar…
36,2020-04-03 00:34:36,"Sólo 20 millones !!! ???

#Ecuador sigue esperando el desembolso que ofreció @FinanzasEc el 24 de marzo cuando corr… https://t.co/agyYr3TSN1"
37,2020-04-03 00:34:35,RT @consuemary: Alguien sabe si existe algo parecido para los profesionales de la comunicación social??? Digo algo así como: juro informar…
38,2020-04-03 00:34:29,"RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicación, es imprescindible retirar ese cuerpo. Es un foco de contag…"
39,2020-04-03 00:34:24,"Para que se den cuenta la estupidez de este ""abogado"" que le ""dieron"" editando un video de Guayaquil con un video d… https://t.co/M7WEiRQWk4"
40,2020-04-03 00:34:08,"Monte sinai, Guayaquil. #EcuadorEnEmergencia #EcuadorSOS #Covid19Ec #COVID2019Ec #CoronavirusEC #CoronavirusEcuador… https://t.co/Jzj8nxyQu1"
41,2020-04-03 00:34:07,"RT @BaironValleP: ¡NOS ESTABAN MINTIENDO!
@ComunicacionEc pretendió desviar la atención insinuando como #FakeNews a las noticias de persona…"
42,2020-04-03 00:34:06,"RT @bytati_: Viene a darnos lecciones de humanismo el Presidente que decidió pagar 324 millones en deuda externa, en lugar de comprar kits…"
43,2020-04-03 00:34:04,RT @bytati_: El propio Presidente Moreno desmiente las cifras oficiales presentadas por el COE. Aclara que ahora recogen 150 cadáveres diar…
44,2020-04-03 00:33:59,RT @marcelaholguin: Miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  @CataAndramuno!!! Ind…
45,2020-04-03 00:33:54,@EvanSousa9 @LulaOficial @alferdez Gado bozolandes.#ImpeachmentdoBolsonaroURGENTE #EcuadorEnEmergencia https://t.co/Fny6LaI8RZ
46,2020-04-03 00:33:51,RT @CepamGuayaquil: @consuemary @PoliciaEcuador @FiscaliaEcuador @mariapaularomo @CIgualdadGenero estaremos vigilantes de que los hechos se…
47,2020-04-03 00:33:48,RT @Pdanilo651: Gracias el #CantonMilagro se lo agradece estimada @IsabelNoboaP @AzucarValdez @ConsorcioNobis por haber hecho eco del clamo…
48,2020-04-03 00:33:47,RT @ramonllzm: Tenemos que ir por este camino en #EcuadorEnEmergencia . Si te has dado cuenta que no son importantes tantos Asambleista? Pu…
